1,abase,vt. 降低...的地位， 降低...的品格， 贬低
2,aberrant,adj. 脱离正道的， 脱离常轨的， 变体的，畸变的
3,absolute,adj. 绝对的，完全的，无限制的，独立的，专制的 n. 绝对的事物
4,adjunct,n. 附属物， 附件， 修饰语
5,analgesic,adj. 止痛的 n. 镇痛剂
6,anarchist,n. 无政府主义者
7,animate,v. 使...有生气，赋予生命，促使 adj. 有生命的；有活力的
8,anterior,adj.前面的，前部的，较早的
9,apathy,n. 缺乏感情或兴趣，冷漠
10,apparition,n. 鬼， 幽灵， 幻影
11,applicable,adj. 合适的，适用的
12,arbitrary,adj. 任意的， 专制的， 武断的， 霸道的
13,atrophy,n. 萎缩， 萎缩症 v. (使）萎缩
14,autocracy,n. 独裁政治， 独裁政府
15,avarice,n. 贪财， 贪婪
16,backfire,n. 逆火， 后爆的巨大响声 vi. (指内燃机等)逆火， 适得其反， 产生事与愿违的结果
17,barefaced,adj. 公然的， 无耻的， 无面具的， 无胡须的
18,bathetic,adj. 平凡的， 陈腐的， 顿降的， 假作悲伤的
19,bedeck,vt. 装饰，修饰
20,brandish,v. 挥， 挥舞 n. 挥舞
21,burgeon,n. 芽， 嫩枝 v. 萌芽， 发芽
22,cadge,v. 行乞， 乞求
23,carouse,n. 狂欢作乐 vi. 痛饮， 畅饮，狂欢
24,carp,n. 鲤鱼 vi. 吹毛求疵
25,cavil,v. 挑毛病， 吹毛求疵 n. 挑毛病
26,censorious,adj. 苛求的，爱挑剔的
27,chromatic,adj. 彩色的， 五彩的
28,clan,n. 氏族， 宗族， 党派
29,clement,adj. 仁慈的， 温和的
30,coarse,adj. 粗糙的，非精制的，粗俗的
31,coerce,vt. 强制，迫使，威胁
32,cohesive,adj. 粘性的(有结合性的， 有粘聚性的)
33,commotion,n. 骚动， 暴乱，喧闹
34,complacent,adj. 满足的， 自满的， 得意的
35,concatenate,v. 连结，连锁 adj. 连锁的
36,condemn,vt. 判刑， 谴责， 官方宣称（某事物）有缺陷或不宜使用
37,condole,v. 同情，慰问 vi. 慰问
38,congenial,adj. 同性质的， 适意的， 趣味相同的，友善的
39,consequence,n. 结果，后果
40,consonant,n. 辅音 adj. 一致的，调和的，辅音的
41,contumacious,adj. 不听命令的，顽固的，反抗法院命令的
42,converge,vi. 聚合，集中于一点 vt. 使集合
43,cordon,n. 哨兵线， 警戒线， 饰带 vt.  围起警戒线
44,craven,adj. 懦弱的， 畏缩的 n. 懦夫
45,crucial,adj. 关键的，决定性的
46,cultivate,vt. 培养，耕作，栽培，结交(朋友)， 促进增长， 教养
47,cumbersome,adj. 笨重的
48,damper,n. 阻尼器， 减音器， 风阀 adj. 微湿的，沮丧的  vi. 减少震动 vt. 使潮湿，抑制，检查振幅
49,decrepit,adj. 破旧的， 衰老的
50,demolition,n. 破坏，毁坏 (复数)demolitions：炸药
51,demoralize,vt. 使士气低落， 使失去斗志
52,demur,vi. 提出异议， 反对， 拖延 n. 异议， 反对
53,deprecate,v. 声明不赞成， 抨击， 反对
54,derelict,adj. 被抛弃了的，无主的，玩忽职守的 n. 遗弃物，被遗弃的人，玩忽职守者
55,descendant,n. 子孙， 后代
56,dire,adj. 可怕的，悲惨的，灾难警告的，极其的
57,discomfit,vt. 使懊恼，挫败，征服 n. 挫败
58,discredit,vt. 使...不可信， 怀疑， 损害...的信用 n. 失信， 怀疑， 不信任
59,dodder,n. [植]菟丝子 vi. 步履不稳，蹒跚
60,dogma,n. 教条，信条
61,doldrums,n. 忧郁 Doldrums：赤道维赤道无风带 名词doldrum的复数形式
62,dominant,adj. 占优势的，主导的，显性的 n. 主宰者
63,dour,adj. 不爱讲话的， 沉沉的， 严厉的
64,dramatic,adj. 戏剧性的，引人注目的，给人深刻印象的
65,drone,n. 雄蜂， 游手好闲者， 嗡嗡声，无人驾驶飞机（或艇等），单调的低音 vi. 发出嗡嗡的声音， 混日子 vt. 单调低沉地说，过着单调无聊的日子
66,effluvium,n. 臭气， 恶臭
67,effrontery,n. 厚颜无耻
68,elephantine,adj. 象的， 巨大的， 粗笨的
69,elicit,vt. 引出，诱探出
70,embolden,vt. 给...壮胆， 鼓励
71,eminence,n. 显赫， 崇高， 高处
72,enthusiasm,n. 热心，热忱，热情
73,epic,n. 史诗，叙事诗 adj. 史诗的，叙事诗的，宏大的，壮丽的
74,etch,n. 腐蚀剂 v. 蚀刻，铭刻
75,exacerbate,vt. 加重(使...恶化， 激怒)
76,excavate,v. 挖掘， 挖开， 凿通
77,excoriate,vt. 撕去皮， 严厉批评
78,excruciate,v. 施酷刑，拷问，使苦恼，折磨
79,exorcise,v. 除怪，驱邪
80,expedite,vt. 加快，促进
81,expire,vi. 期满，失效，终止，断气 vt. 呼气
82,fatigue,n.   疲乏，疲劳，累活 adj. 疲劳的 vt.  使...疲劳，使...心智衰弱 vi.  疲劳
83,ferocious,adj. 残忍的， 凶猛的，极度的，十分强烈的
84,finicky,adj. 苛求的(过分讲究的，小题大作的)
85,flaccid,adj. 软弱的， 没气力的， 无活力的
86,flirt,n. 卖弄风骚的人，调情的人 vi. 掠过，轻率对待，经历 vt. 忽然弹出，摇动
87,fraught,adj. 充满(不愉快事物）的， 伴随的， 忧伤的，忧虑的
88,friable,adj. 易碎的
89,frothy,adj. 起泡的，多泡的，空洞的
90,futile,adj. 无效的， 无用的
91,germinate,v. 发芽， 萌芽， 开始发育 v. 使发芽， 使发达
92,glutinous,adj. 粘性的，胶状的
93,hale,adj. 强壮的， 健壮的 vt. 猛拉， 拖揭发拽
94,hobble,v. 蹒跚，跛行 vi. 跛行
95,homage,n. 敬意，效忠
96,idiosyncrasy,n. 特质
97,ignominy,n. (尤指公开的)羞耻， 屈辱
98,imbibe,v. 饮， 吸取， 吸入
99,impetuous,adj. 冲动的， 猛烈的， 轻率的
100,impudent,adj. 鲁莽的， 卑鄙的
101,indigent,adj. 贫穷的， 贫困的，欠缺的
102,innovative,adj. 革新的， 创新的
103,intrepid,adj. 无畏的， 刚毅的
104,inveigh,vi. 痛骂， 漫骂， 臭骂
105,inveterate,adj. 根深的，成癖的，积习的
106,invincible,adj. 不可征服的， 难以制服的
107,irascible,adj. 易怒的， 暴躁的
108,irradicable,adj.不能根除的
109,jejune,adj. 空洞的， 不成熟的，缺乏营养的
110,lavish,adj. 大方的，丰富的，浪费的 vt. 浪费，慷慨给予
111,limber,adj. 柔软的，敏捷的 v. 使柔软，将前车接上 v. 做柔软运动
112,lithe,adj. 柔软的， 易弯的
113,manumit,vt. 解放(奴隶)
114,mar,n. 污点 vt. 损毁 abbr.=March 三月
115,metaphysical,adj. 形而上学的，抽象的 Metaphysical adj. (英国)玄学派诗歌或诗人的
