1,abate,v. 缓和， 减弱
2,abeyance,n. 中止， 暂搁， 停止
3,abjure,v. 发誓放弃
4,abstruse,adj. 深奥的
5,acrid,adj. 苦味的， 辛辣的， 尖刻的
6,adapt,vt. 使适应，改编 vi. 适应，适合
7,addict,vt. 使...耽溺，使...上瘾 n. 耽溺者，上瘾者
8,adjudicate,vt. 判决，裁定 vi. 充当裁判
9,agitate,vt.搅动，摇动； 使不安； 激烈讨论 vi.鼓动，煽动
10,ambrosial,adj. 美味佳肴的，芳香的，神的，适用于神的
11,amenity,n. 适意，温和，礼仪，怡人， 便利设施
12,antipathy,n. 憎恶， 反感
13,ardor,n. 热情， 狂热 =ardour(英)
14,assess,v. 估定， 评定
15,baffle,v. 困惑， 为难
16,barb,n. 倒钩 n. 尖刻、刻薄的言语 vt. 给...装倒钩
17,barter,n. 物物交换， 实物交易 v. 物物交换， 交换
18,bland,adj. 乏味的；温和的；冷漠的  vt. 使…变得淡而无味；除掉…的特性  vi. 变得平淡无奇；丧失特性
19,blithe,adj. 快乐的， 无忧无虑的，轻率的
20,blunt,adj. 迟钝的，钝的，直接的 vt.&amp; vi. 使变钝 n. 混了大麻的雪茄
21,brake,vi. 刹车 n. 闸，刹车；阻碍 vt. 刹车
22,bravado,n. 作威， 虚张的勇气
23,bungle,vi. 拙劣地工作， 粗率地做 vt. 搞坏，贻误 n. 粗制滥造
24,cacophony,n. 刺耳的声音，杂音
25,calligraphy,n. 书法
26,camouflage,v. 伪装， 欺瞒
27,carnal,adj. 肉体的，世俗的
28,charisma,n. 非凡的领导力，教祖般的指导力，神授的能力
29,combustible,adj. 易燃的， 燃烧性的，易激动的 n. 燃质物， 可燃物
30,commencement,n. 开始，毕业典礼
31,concur,v. 意见相同， 一致， 互助
32,consternation,n. 惊愕， 恐怖， 惊惶失措
33,contaminate,vt. 弄脏，污染
34,contend,vi. 奋斗，斗争，辩论 vt. 坚持认为，竞争
35,contrived,adj. 人为的， 做作的 动词contrive的过去式和过去分词
36,conversant,adj. 熟悉的，亲近的，有交情的
37,coquette,n. 卖弄风情之女子
38,counterfeit,n. 膺品， 伪造品 adj. 假冒的， 假装的 v. 仿造， 伪装， 假装
39,curt,adj. 简略的， 简短的， 生硬的
40,deadpan,adj. 无表情的脸
41,debonair,adj. 高兴的(心情愉快的) ， 殷勤的， 温文尔雅的
42,deference,n. 顺从，敬重
43,deflect,vt. 使转向；使偏斜；使弯曲 vi. 转向；偏斜
44,dependable,adj. 可信任的， 可靠的， 可信赖的
45,devoted,adj. 投入的， 深爱的 v. 投入 vbl. 投入
46,dilettante,n. 浅薄涉猎者， 业余爱好者，艺术爱好者 adj. 浅薄的，业余的
47,dilute,vt. 冲淡，稀释 adj. 冲淡的，稀释的，微弱的
48,diminish,vt. 减少，变小， 减损 vi. 变少， 逐渐变细
49,dingy,adj. 昏暗的；肮脏的
50,disenchant,vt. 唤醒，使不再着迷， 使不抱幻想
51,dissolve,vt. 消除，解散，使溶解，解决(问题)，使沮丧 vi. 消散，溶解， 解散， 液化，变得模糊 n. 叠化画面
52,divulge,v. 泄露， 暴露
53,doyen,n. 老资格， 首席
54,drizzle,n. 细雨 v. 下毛毛雨
55,ductile,adj. 易延展的， 柔软的 adj. 易教导的
56,effervesce,vi. 冒泡， 沸腾， 兴奋
57,embezzle,vt. 盗用， 挪用
58,embrace,n. 拥抱 v. 拥抱，互相拥抱，包含
59,enact,vt. 制定法律，扮演
60,enervate,adj.无力的，衰弱的 vt. 使无力，使衰弱
61,equivocate,vi. 说模棱两可的话，支吾其词
62,evacuate,vt. &amp;vi. 疏散， 撤出， 排泄
63,exodus,n. 大批的离去 Exodus：（《圣经·旧约》中的）出埃及记
64,explicit,adj. 明确的，详述的，明晰的，外在的
65,facilitate,vt. 帮助， 使...容易， 促进
66,falsehood,n. 谎言， 虚假
67,fantasy,n. 幻想 v. 幻想
68,fateful,adj. 宿命的， 重大的， 决定性的
69,featureless,adj. 无特色的，平凡的
70,figment,n. 虚构的东西
71,foment,v.挑起，激起，煽动（事端或暴力）
72,foreground,n. 前景， 最显著的位置
73,gauge,n. 测量标准，轨距，口径，直径，测量仪器  vt. 测量，估计，判断
74,gibe,v.&amp;amp;n. 嘲笑，讥笑 vi. 嘲笑
75,goad,n. 刺棒， 激励物， 刺激物 v. 用刺棒驱赶， 激励， 刺激
76,graft,n. 接枝， 贪污 v. 接枝， 使结合
77,groggy,adj. 酒醉的，东歪西倒的，摇摇晃晃的
78,hack,n. 劈， 砍， 出租马车 v. 劈， 砍， 干咳
79,hallow,vt. 使...神圣， 视为神圣
